epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7155,2.22217,4.03101,2.41666,0.20103,0.03646,0.01374,0.00363,2.5909,4.4932,3.1908,0.0671111,0.000332211,0.000332211
2,102.368,2.30861,3.87322,2.50814,0.40445,0.02604,0.0402,0.01333,2.23682,6.31556,2.93074,0.0341029,0.000657308,0.000657308
3,151.922,2.31966,3.74105,2.54126,0.33535,0.04688,0.03293,0.01305,2.24949,5.42914,2.86397,0.00108639,0.000974155,0.000974155
4,200.957,2.16088,3.59174,2.42048,0.53228,0.03646,0.13804,0.06373,2.23086,3.87049,2.81099,0.000962875,0.000962875,0.000962875
5,250.091,2.17786,3.48137,2.36605,0.45273,0.0319,0.05711,0.02765,2.02012,5.28169,2.48745,0.0009505,0.0009505,0.0009505
6,299.203,2.16333,3.41727,2.35319,0.29014,0.09632,0.08538,0.0393,2.05032,3.67305,2.50484,0.000938125,0.000938125,0.000938125
7,348.379,2.11182,3.34038,2.31864,0.66479,0.03646,0.06064,0.02141,1.9712,3.63551,2.49319,0.00092575,0.00092575,0.00092575
8,397.436,2.08522,3.26748,2.28897,0.65833,0.10417,0.0735,0.03364,2.0397,3.42098,2.50053,0.000913375,0.000913375,0.000913375
9,446.501,2.08176,3.25863,2.27969,0.65884,0.06154,0.16964,0.08897,2.05552,3.45101,2.48333,0.000901,0.000901,0.000901
10,496.015,2.03024,3.26623,2.2341,0.54287,0.11458,0.09785,0.04707,2.04631,3.37978,2.44178,0.000888625,0.000888625,0.000888625
11,547.539,2.04803,3.17306,2.25197,0.64538,0.10938,0.16366,0.06749,2.0237,3.26249,2.47527,0.00087625,0.00087625,0.00087625
12,598.7,2.01418,3.16568,2.19567,0.68007,0.08333,0.16011,0.08056,1.80122,2.99473,2.23189,0.000863875,0.000863875,0.000863875
13,649.443,1.96246,3.14608,2.16791,0.68706,0.08333,0.20288,0.10421,1.9831,3.89285,2.42099,0.0008515,0.0008515,0.0008515
14,698.636,1.9324,3.07404,2.16409,0.54327,0.14583,0.14402,0.09167,1.8172,3.5862,2.38116,0.000839125,0.000839125,0.000839125
15,747.641,1.9367,3.05045,2.13154,0.68075,0.08333,0.15698,0.07771,1.97428,3.20113,2.37049,0.00082675,0.00082675,0.00082675
16,797.641,1.91142,3.02718,2.10314,0.71319,0.09375,0.22891,0.11871,1.72279,3.05611,2.18474,0.000814375,0.000814375,0.000814375
17,846.836,1.90939,2.96093,2.1023,0.79485,0.14583,0.15095,0.08086,1.80153,3.35595,2.26432,0.000802,0.000802,0.000802
18,896.067,1.9132,2.97891,2.13049,0.04513,0.625,0.33249,0.1685,1.79368,3.19989,2.26929,0.000789625,0.000789625,0.000789625
19,945.291,1.92782,3.01848,2.12157,0.7899,0.125,0.18934,0.10321,1.88421,3.09495,2.28717,0.00077725,0.00077725,0.00077725
20,995.408,1.8992,2.8998,2.11054,0.14406,0.51042,0.24522,0.13076,1.77527,3.43129,2.22177,0.000764875,0.000764875,0.000764875
21,1044.66,1.88661,2.88596,2.08643,0.59835,0.19792,0.26324,0.10339,1.80498,3.18103,2.20828,0.0007525,0.0007525,0.0007525
22,1093.99,1.89949,2.85435,2.09825,0.59088,0.16667,0.27407,0.11128,1.8363,3.29264,2.2094,0.000740125,0.000740125,0.000740125
23,1143.88,1.88068,2.91822,2.09777,0.78077,0.16667,0.26986,0.12167,1.73088,3.07913,2.21221,0.00072775,0.00072775,0.00072775
24,1196.33,1.84251,2.82788,2.07722,0.52682,0.29167,0.23959,0.139,1.86381,3.19623,2.39404,0.000715375,0.000715375,0.000715375
25,1245.56,1.87582,2.81797,2.08822,0.79688,0.14583,0.29892,0.13728,1.85572,2.88522,2.27043,0.000703,0.000703,0.000703
26,1294.76,1.83264,2.71008,2.0479,0.6549,0.22917,0.29578,0.14988,1.85933,2.89548,2.26258,0.000690625,0.000690625,0.000690625
27,1345.11,1.82997,2.6231,2.04219,0.89295,0.10417,0.31635,0.17164,1.69956,2.83167,2.10156,0.00067825,0.00067825,0.00067825
28,1394.39,1.82229,2.64657,2.03801,0.55711,0.24416,0.2488,0.13104,1.78494,3.24359,2.16354,0.000665875,0.000665875,0.000665875
29,1443.43,1.80743,2.62275,2.01928,0.86878,0.10311,0.2557,0.12813,1.77784,2.98398,2.16211,0.0006535,0.0006535,0.0006535
30,2484.85,1.81485,2.57207,2.03216,0.76943,0.16146,0.3389,0.19218,1.66306,2.92532,2.06145,0.000641125,0.000641125,0.000641125
31,2534.46,1.78981,2.56605,2.0137,0.59899,0.26042,0.30576,0.15389,1.68832,2.90862,2.04546,0.00062875,0.00062875,0.00062875
32,2584.38,1.7868,2.57675,2.01337,0.72118,0.20833,0.33344,0.15352,1.7569,2.90365,2.1182,0.000616375,0.000616375,0.000616375
33,2634.36,1.80609,2.56512,2.01436,0.45308,0.31161,0.33691,0.141,1.81459,2.8087,2.12623,0.000604,0.000604,0.000604
34,2683.81,1.79657,2.51613,1.99352,0.59849,0.26042,0.32972,0.13406,1.75688,2.84512,2.1215,0.000591625,0.000591625,0.000591625
35,2734.43,1.76092,2.51758,1.97835,0.4928,0.35417,0.39869,0.15463,1.94531,2.75754,2.21653,0.00057925,0.00057925,0.00057925
36,2784.31,1.79682,2.50059,1.9969,0.55621,0.40625,0.40366,0.18406,1.80802,2.65645,2.12575,0.000566875,0.000566875,0.000566875
37,2833.47,1.7528,2.4726,1.97047,0.54636,0.41597,0.43154,0.19821,1.74372,2.74833,2.11902,0.0005545,0.0005545,0.0005545
38,2883.65,1.71273,2.44288,1.95855,0.49226,0.29095,0.32794,0.18138,1.75274,2.90378,2.08322,0.000542125,0.000542125,0.000542125
39,2932.76,1.72624,2.40148,1.95206,0.32742,0.30208,0.35012,0.17797,1.58455,2.88013,2.02506,0.00052975,0.00052975,0.00052975
40,2981.77,1.68961,2.41578,1.92618,0.42126,0.33652,0.41184,0.20204,1.66669,2.91114,2.05755,0.000517375,0.000517375,0.000517375
41,3030.93,1.71698,2.3587,1.95426,0.57529,0.40625,0.37937,0.18667,1.70454,2.85951,2.04035,0.000505,0.000505,0.000505
42,3081.17,1.70574,2.36834,1.93873,0.55307,0.48958,0.40889,0.19973,1.58669,2.9363,2.00888,0.000492625,0.000492625,0.000492625
43,3130.25,1.70017,2.35922,1.93687,0.37671,0.46647,0.41033,0.21729,1.53843,2.88062,1.96852,0.00048025,0.00048025,0.00048025
44,3179.65,1.71319,2.33675,1.9541,0.39542,0.4235,0.37539,0.19517,1.73108,2.68826,2.0094,0.000467875,0.000467875,0.000467875
45,3229,1.68233,2.33767,1.92818,0.32959,0.53291,0.39307,0.17879,1.84366,2.78374,2.05784,0.0004555,0.0004555,0.0004555
46,3279.81,1.692,2.23151,1.91067,0.3068,0.5602,0.41608,0.19587,1.66849,2.85951,1.95196,0.000443125,0.000443125,0.000443125
47,3330.65,1.70386,2.28388,1.93234,0.67968,0.2792,0.39585,0.20376,1.77644,2.81365,2.06908,0.00043075,0.00043075,0.00043075
48,3381.55,1.68304,2.17868,1.88488,0.63496,0.34375,0.45561,0.23183,1.83381,2.61682,2.20695,0.000418375,0.000418375,0.000418375
49,3432.72,1.66007,2.16747,1.90276,0.41193,0.54167,0.4688,0.2016,1.70723,2.72915,2.02929,0.000406,0.000406,0.000406
50,3483.13,1.64775,2.15202,1.88356,0.37081,0.45833,0.44747,0.19714,1.56811,2.70525,1.91522,0.000393625,0.000393625,0.000393625
51,3538.3,1.707,2.14033,2.07823,0.39849,0.42708,0.46739,0.23839,1.60378,2.72133,2.00249,0.00038125,0.00038125,0.00038125
52,3588.71,1.66796,2.04157,2.05989,0.43688,0.42708,0.43746,0.19383,1.63351,2.84585,2.03382,0.000368875,0.000368875,0.000368875
53,3638.99,1.66513,1.96954,2.0233,0.50755,0.42708,0.50675,0.22186,1.75736,2.47726,2.04011,0.0003565,0.0003565,0.0003565
54,3689.36,1.65049,1.94739,2.01254,0.39569,0.51608,0.48678,0.21059,1.71671,2.49025,2.03809,0.000344125,0.000344125,0.000344125
55,10615.6,1.62765,1.85076,2.00843,0.43447,0.55208,0.52238,0.23772,1.70332,2.52869,2.01722,0.00033175,0.00033175,0.00033175
56,10665.3,1.618,1.86,2.01029,0.69115,0.34213,0.45248,0.21647,1.63772,2.69849,2.00452,0.000319375,0.000319375,0.000319375
57,10714.8,1.60423,1.80053,1.98636,0.7794,0.36355,0.48587,0.22783,1.67253,2.39143,1.98513,0.000307,0.000307,0.000307
58,10765,1.58642,1.7587,1.9534,0.44737,0.58333,0.53429,0.2591,1.54004,2.66382,1.88606,0.000294625,0.000294625,0.000294625
59,10814.3,1.57162,1.74089,1.93857,0.43947,0.53256,0.47965,0.20761,1.56296,2.36373,1.89557,0.00028225,0.00028225,0.00028225
60,10863.5,1.53007,1.71499,1.93598,0.61302,0.39611,0.51981,0.22745,1.64726,2.49898,1.97603,0.000269875,0.000269875,0.000269875
61,10913.1,1.57032,1.67944,1.91894,0.62016,0.43177,0.46835,0.21494,1.63448,2.64365,1.97334,0.0002575,0.0002575,0.0002575
62,10963.2,1.56335,1.65057,1.91598,0.52902,0.48958,0.50593,0.23059,1.5588,2.46842,1.93913,0.000245125,0.000245125,0.000245125
63,11012.2,1.53652,1.62805,1.9264,0.43937,0.55208,0.51809,0.27645,1.68473,2.45416,2.01031,0.00023275,0.00023275,0.00023275
64,11061.5,1.51898,1.6042,1.90332,0.73129,0.35888,0.50599,0.24153,1.62486,2.42686,1.96892,0.000220375,0.000220375,0.000220375
65,11110.5,1.48604,1.56789,1.88154,0.58722,0.52083,0.4931,0.21926,1.64412,2.36602,2.02316,0.000208,0.000208,0.000208
66,11160.2,1.48551,1.56694,1.87435,0.71923,0.39862,0.52451,0.25678,1.71226,2.26372,2.05131,0.000195625,0.000195625,0.000195625
67,11209.2,1.48259,1.50998,1.87549,0.63738,0.4579,0.51942,0.26286,1.54398,2.48376,1.91717,0.00018325,0.00018325,0.00018325
68,11258.2,1.47563,1.50455,1.87227,0.50353,0.61458,0.54868,0.2991,1.44124,2.58279,1.80882,0.000170875,0.000170875,0.000170875
69,11308.3,1.47485,1.47006,1.84037,0.4619,0.55208,0.48988,0.23771,1.59289,2.34084,1.90478,0.0001585,0.0001585,0.0001585
70,11357.5,1.4611,1.45579,1.84513,0.63295,0.47742,0.4859,0.25514,1.64083,2.29835,1.93396,0.000146125,0.000146125,0.000146125
71,11406.9,1.44722,1.45505,1.84666,0.55182,0.52083,0.4673,0.26702,1.68915,2.31254,1.99726,0.00013375,0.00013375,0.00013375
72,11456.8,1.44334,1.41635,1.83626,0.47897,0.45131,0.47261,0.2671,1.52455,2.36331,1.81659,0.000121375,0.000121375,0.000121375
73,11507.4,1.41589,1.42287,1.83138,0.47776,0.53611,0.52498,0.26802,1.62688,2.47106,1.94566,0.000109,0.000109,0.000109
74,11556.5,1.42947,1.38284,1.82562,0.59427,0.43688,0.49537,0.25317,1.55151,2.36476,1.87288,9.6625e-05,9.6625e-05,9.6625e-05
75,11605.5,1.4062,1.34823,1.8185,0.3522,0.54564,0.50068,0.25557,1.55322,2.40483,1.88441,8.425e-05,8.425e-05,8.425e-05
76,11654.4,1.39858,1.31296,1.81937,0.34425,0.58333,0.50772,0.25199,1.52968,2.30207,1.84861,7.1875e-05,7.1875e-05,7.1875e-05
77,11704.5,1.39361,1.31405,1.78755,0.35419,0.63284,0.52202,0.27807,1.48716,2.29972,1.83008,5.95e-05,5.95e-05,5.95e-05
78,11753.5,1.37497,1.32224,1.78614,0.2792,0.57202,0.49516,0.28915,1.50711,2.37665,1.87326,4.7125e-05,4.7125e-05,4.7125e-05
